epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,364.143,0.4263,0.32296,0.98563,0.98907,0.97981,0.99071,0.91405,0.41899,0.32228,0.90152,0.000346736,0.000346736,0.000346736
82,368.987,0.42452,0.31193,0.9891,0.98526,0.97652,0.99061,0.92073,0.4072,0.30744,0.89059,0.000330233,0.000330233,0.000330233
83,373.203,0.40781,0.30153,0.96004,0.98396,0.98039,0.99033,0.91837,0.39186,0.28831,0.87145,0.000313729,0.000313729,0.000313729
84,377.772,0.42195,0.30527,0.9749,0.97765,0.96078,0.99239,0.91843,0.39013,0.28028,0.86892,0.000297226,0.000297226,0.000297226
85,382.733,0.42566,0.30814,0.98099,0.98988,0.97439,0.99425,0.92812,0.38859,0.27235,0.86227,0.000280723,0.000280723,0.000280723
86,386.798,0.40571,0.28078,0.95568,0.9951,0.97059,0.99452,0.92773,0.3781,0.25708,0.8602,0.00026422,0.00026422,0.00026422
87,391.467,0.39927,0.2946,0.95294,0.99596,0.98137,0.9949,0.91602,0.3962,0.26471,0.88351,0.000247716,0.000247716,0.000247716
88,395.786,0.41514,0.30395,0.97682,0.98859,0.98206,0.9949,0.90766,0.3967,0.25812,0.89881,0.000231213,0.000231213,0.000231213
89,400.034,0.41673,0.30291,0.97304,0.98952,0.98103,0.995,0.92356,0.37805,0.25823,0.87664,0.00021471,0.00021471,0.00021471
90,404.884,0.40802,0.29976,0.97764,0.98151,0.9713,0.99235,0.92198,0.36789,0.26062,0.86801,0.000198206,0.000198206,0.000198206
91,420.051,0.30009,0.23873,0.88043,0.97753,0.96333,0.99433,0.92949,0.36629,0.26536,0.86764,0.000181703,0.000181703,0.000181703
92,424.913,0.31224,0.22407,0.8885,0.97916,0.9902,0.99413,0.92671,0.37672,0.25754,0.87591,0.0001652,0.0001652,0.0001652
93,429.085,0.29319,0.2165,0.87364,0.99035,0.98445,0.995,0.93018,0.3555,0.2568,0.86133,0.000148696,0.000148696,0.000148696
94,433.593,0.29291,0.2142,0.88579,0.9696,0.97299,0.99159,0.92289,0.36728,0.25899,0.86545,0.000132193,0.000132193,0.000132193
95,438.484,0.29884,0.20424,0.87203,0.9683,0.96822,0.98951,0.92477,0.36494,0.26069,0.86599,0.00011569,0.00011569,0.00011569
96,443.222,0.28021,0.20149,0.86476,0.98767,0.98096,0.99119,0.93291,0.35912,0.26427,0.85964,9.91865e-05,9.91865e-05,9.91865e-05
97,448.356,0.28014,0.19812,0.85695,0.98778,0.985,0.9913,0.93281,0.35495,0.24996,0.8593,8.26832e-05,8.26832e-05,8.26832e-05
98,452.902,0.2725,0.1973,0.85007,0.98833,0.98818,0.9934,0.9333,0.3507,0.23991,0.85498,6.61799e-05,6.61799e-05,6.61799e-05
99,457.751,0.26378,0.1884,0.85711,0.989,0.98362,0.99386,0.93446,0.34819,0.2386,0.85315,4.96766e-05,4.96766e-05,4.96766e-05
100,462.336,0.26609,0.19212,0.8638,0.98874,0.984,0.99331,0.93548,0.34759,0.24395,0.85304,3.31733e-05,3.31733e-05,3.31733e-05
